Date,Day Number,New Cases,Cum Cases,Confirmed,Probable,Suspected,Deaths,OB #,Region
12-May-95,73,3,,,,,,18,DRC
13-May-95,74,4,,,,,,18,DRC
14-May-95,75,7,,,,,,18,DRC
15-May-95,76,11,,,,,,18,DRC
16-May-95,77,3,,,,,,18,DRC
17-May-95,78,12,,,,,,18,DRC
18-May-95,79,5,,,,,,18,DRC
19-May-95,80,8,,,,,,18,DRC
20-May-95,81,3,,,,,,18,DRC
21-May-95,82,3,,,,,,18,DRC
22-May-95,83,8,,,,,,18,DRC
23-May-95,84,4,,,,,,18,DRC
24-May-95,85,5,,,,,,18,DRC
25-May-95,86,1,,,,,,18,DRC
26-May-95,87,3,,,,,,18,DRC
27-May-95,88,4,,,,,,18,DRC
28-May-95,89,3,,,,,,18,DRC
29-May-95,90,1,,,,,,18,DRC
30-May-95,91,2,,,,,,18,DRC
31-May-95,92,3,,,,,,18,DRC
1-Jun-95,93,1,,,,,,18,DRC
2-Jun-95,94,3,,,,,,18,DRC
3-Jun-95,95,3,,,,,,18,DRC
4-Jun-95,96,4,,,,,,18,DRC
5-Jun-95,97,3,,,,,,18,DRC
6-Jun-95,98,5,,,,,,18,DRC
7-Jun-95,99,2,,,,,,18,DRC
8-Jun-95,100,2,,,,,,18,DRC
9-Jun-95,101,1,,,,,,18,DRC
10-Jun-95,102,2,,,,,,18,DRC
11-Jun-95,103, ,,,,,,18,DRC
12-Jun-95,104, ,,,,,,18,DRC
13-Jun-95,105,2,,,,,,18,DRC
14-Jun-95,106, ,,,,,,18,DRC
15-Jun-95,107,,,,,,,18,DRC
16-Jun-95,108, ,,,,,,18,DRC
17-Jun-95,109,2,,,,,,18,DRC
18-Jun-95,110,2,,,,,,18,DRC
19-Jun-95,111, ,,,,,,18,DRC
20-Jun-95,112,1,,,,,,18,DRC
16-Oct-00,1, ,71, , ,71,35,1,Uganda
17-Oct-00,2,10,81, , , ,35,1,Uganda
18-Oct-00,3,13,94, , , ,39,1,Uganda
19-Oct-00,4,17,111, , , ,41,1,Uganda
20-Oct-00,5,6,122, , , ,47,1,Uganda
21-Oct-00,6,17,139, , , ,51,1,Uganda
22-Oct-00,7,10,149, , , ,54,1,Uganda
23-Oct-00,8,11,160, , , ,55,1,Uganda
24-Oct-00,9,5,165, , , ,60,1,Uganda
25-Oct-00,10,11,176, , , ,64,1,Uganda
26-Oct-00,11,6,182, , , ,64,1,Uganda
27-Oct-00,12,9,191, , , ,68,1,Uganda
28-Oct-00,13,14,205, , , ,71,1,Uganda
29-Oct-00,14,6,211, , , ,72,1,Uganda
30-Oct-00,15,13,224, , , ,73,1,Uganda
31-Oct-00,16,15,239, , , ,75,1,Uganda
1-Nov-00,17,12,251, , , ,80,1,Uganda
2-Nov-00,18,11,262, , , ,81,1,Uganda
3-Nov-00,19,4,266, , , ,83,1,Uganda
5-Nov-00,21,14,280, , , ,89,1,Uganda
6-Nov-00,22,1,281, , , ,91,1,Uganda
7-Nov-00,23,3,284, , , ,91,1,Uganda
8-Nov-00,24,2,286, , , ,94,1,Uganda
9-Nov-00,25,9,295,  , , ,96,1,Uganda
10-Nov-00,26,6,301, , , ,99,1,Uganda
12-Nov-00,28,19,320,,,,104,1,Uganda
13-Nov-00,29,1,321,,,,104,1,Uganda
17-Nov-00,33,8,329,,,,107,1,Uganda
24-Nov-00,40,8,337,,,,121,1,Uganda
29-Nov-00,45,17,354,,,,140,1,Uganda
5-Dec-00,51,16,370,,,,140,1,Uganda
8-Dec-00,54,35,405,,,,160,1,Uganda
19-Dec-00,65,16,421,,,,165,1,Uganda
29-Dec-00,75,5,426,,,,172,1,Uganda
2-Jan-01,79,0,426,,,,172,1,Uganda
9-Jan-01,86,1,427,,,,173,1,Uganda
16-Jan-01,93,1,428,,,,174,1,Uganda
23-Jan-01,100,0,428,,,,174,1,Uganda
11-Dec-01,1,,,1,,12,10,2,Gabon
12-Dec-01,2,,,2,,14,10,2,Gabon
16-Dec-01,5,,,2,,15,12,2,Gabon
17-Dec-01,6,,,2,,16,12,2,Gabon
18-Dec-01,7,,19,2,,,13,2,Gabon
19-Dec-01,8,,27,25,,,15,2,Gabon
23-Dec-01,12,,,27,,7,18,2,Gabon
27-Dec-01,16,, ,29,,8,20,2,Gabon
30-Dec-01,19,,,30,,5,22,2,Gabon
1-Jan-02,21,,,32,,9,23,2,Gabon
2-Jan-02,22,,,32,,10,23,2,Gabon
6-Jan-02,26,,,33,,15,24,2,Gabon/RC
7-Jan-02,27,,,34,,16,25,2,Gabon/RC
20-Jan-02,40,,,42,,22,34,2,Gabon/RC
5-Feb-02,56,,,69,,,54,2,Gabon/RC
18-Feb-02,69,,,76,,,59,2,Gabon/RC
23-Feb-02,74,,,78,,,61,2,Gabon
4-Mar-02,83,,,81,,,62,2,Gabon
12-Mar-02,91,,,91,,,68,2,Gabon/RC
20-Mar-02,99,,,92,,,69,2,Gabon
18-Feb-03,1,,,,,73,59,3,RC
25-Feb-03,7,,,5,90,,77,3,RC
27-Feb-03,9,,,5,92,,80,3,RC
7-Mar-03,17,,,5,105,,89,3,RC
14-Mar-03,24,,118,13,105,,106,3,RC
23-Mar-03,33,,123,13,110,,113,3,RC
2-Apr-03,43,,135,13,122,,120,3,RC
14-Apr-03,55,,140,13,127,,123,3,RC
6-May-03,77,,143,13,130, ,128,3,RC
17-Nov-03,1,,11,1,10,,11,4,RC
21-Nov-03,4,13,24,,,,12,4,RC
24-Nov-03,7,,36,,,,18,4,RC
2-Dec-03,15,,47,,,,28,4,RC
11-Dec-03,24,,,,31,,29,4,RC
24-Dec-03,37,,35,,,,29,4,RC
24-May-04,1,,19,,,,4,5,Sudan
26-May-04,3,,20,,,,5,5,Sudan
31-May-04,7,,25,,,,6,5,Sudan
6-Jun-04,13,,28,,,,7,5,Sudan
10-Jun-04,17,,30,,,,7,5,Sudan
17-Jun-04,24,,18,,,,6,5,Sudan
6-Jul-04,37,,17,13,4,,7,5,Sudan
17-May-05,1,,11,1,10,,9,6,RC
25-May-05,8,,12,1,11,,9,6,RC
11-Sep-07,1,,372,,,,166,7,DRC
27-Sep-07,16,,,17,,,,7,DRC
3-Oct-07,22,,,25,,76,,7,DRC
30-Nov-07,1,,,,,51,16,8,Uganda
7-Dec-07,8,,,9,,93,228,8,Uganda
25-Dec-08,1,,,2,,34,9,9,DRC
31-Dec-08,6,,,3,,36,12,9,DRC
17-Feb-09,54,,32,,,,15,9,DRC
3-Feb-09,1,,,5,,,,10,Phillipines
31-Mar-09,56,,,6,,,,10,Phillipines
18-May-11,1,,,1,,,,11,Uganda
29-Jul-12,1,,20,,,,14,12,Uganda
3-Aug-12,6,,,5,,53,16,12,Uganda
8-Aug-12,11,,23,10,13,,16,12,Uganda
14-Aug-12,17,,24,,,,16,12,Uganda
3-Sep-12,37,,24,11,13,,17,12,Uganda
17-Aug-12,1,,,,,10,6,13,DRC
20-Aug-12,3,,15,2,13,,10,13,DRC
28-Aug-12,11,,24,6,6,12,11,13,DRC
3-Sep-12,17,,28,8,6,14,14,13,DRC
12-Sep-12,26,,41,9,32,28,18,13,DRC
18-Sep-12,32,,46,14,32,26,19,13,DRC
24-Sep-12,38,,51,19,32,28,20,13,DRC
7-Oct-12,51,,49,31,18,,24,13,DRC
24-Oct-12,68,,52,35,17,,25,13,DRC
17-Nov-12,1,,4,,,,3,14,Uganda
23-Nov-12,6,,10,6,4,,5,14,Uganda
28-Nov-12,11,,7,6,1,,4,14,Uganda
22-Mar-14,1,,49,,,,29,15,Guinea
24-Mar-14,3,37,86,,,,59,15,Guinea
25-Mar-14,4,,86,,,,60,15,Guinea
26-Mar-14,5,,86,11,,,62,15,Guinea
27-Mar-14,6,17,103,15,,15,66,15,Guinea
27-Mar-14,6,,,,,8,6,15,Liberia
